question,answer
"ဘားအံကို ဒေသန္တရဘတ်စ်ကားနဲ့ သွားရင် ဘာတွေ ကြုံရမလဲ။","ကားပေါ်မှာ ကာရာအိုကေဆိုတာ ဒါမှမဟုတ် မြန်မာဗီဒီယိုကားတွေ ကြည့်ရင်း ကျေးလက်ဘဝကို ခံစားရပါလိမ့်မယ်။"
"ပုဂံက ဘုရားပုထိုးတွေကို အပေါ်စီးကနေ ထူးထူးခြားခြား ဘယ်လို ကြည့်နိုင်မလဲ။","နေထွက်ချိန်မှာ မိုးပျံပူဖောင်းစီးပြီး ရှေးဟောင်းဘုရားတွေကို အပေါ်စီးကနေ ကြည့်ရှုနိုင်ပါတယ်။"
"အင်းတော်ကြီးကန်မှာ တောရိုင်းတိရစ္ဆာန်တွေကို မနှောင့်ယှက်ဘဲ ဘယ်လိုကြည့်ရမလဲ။","ကယပ်လှေ (Kayak) လှော်ပြီး သွားတာက တိရစ္ဆာန်တွေကို မခြောက်လှန့်ဘဲ အနီးကပ်ကြည့်နိုင်စေပါတယ်။"
"ရန်ကုန်ကနေ ဒလဘက်ကို ဘယ်လို ကူးရမလဲ။","ဒေသခံ ကူးတို့သင်္ဘော (Ferry) ကို စီးပြီး မြစ်တစ်ဖက်ကမ်းက ဘဝတွေကို သွားရောက်လေ့လာနိုင်ပါတယ်။"
"ရှမ်းပြည်နယ်ရဲ့ ကျေးလက်ရှုခင်းတွေကို လမ်းလျှောက်ချင်ရင် ဘယ်မြို့က အကောင်းဆုံးလဲ။","ကလောမြို့က ကျေးလက်တောင်တန်းတွေကြား လမ်းလျှောက်အပန်းဖြေဖို့ အသင့်တော်ဆုံးနေရာ ဖြစ်ပါတယ်။"
"အချို့ဒေသတွေမှာ ရေရရှိမှုကို ဘာကြောင့် ကြိုတင်မေးမြန်းသင့်သလဲ။","အချို့နေရာတွေမှာ ရေရှားပါးမှု ပြင်းထန်တတ်လို့ ခရီးသွားတွေရဲ့ သုံးစွဲမှုကြောင့် ဒေသခံတွေ ရေမပြတ်လပ်စေဖို့ပါ။"
"မျိုးသုဉ်းလုနီးပါး တိရစ္ဆာန်တွေနဲ့ လုပ်ထားတဲ့ ပစ္စည်းဝယ်ရင် ဘာဖြစ်မလဲ။","ဒါဟာ တရားမဝင် တောရိုင်းတိရစ္ဆာန် အရောင်းအဝယ်ကို အားပေးရာရောက်ပြီး သဘာဝပတ်ဝန်းကျင်ကို ပျက်စီးစေပါတယ်။"
"မျောက်တွေ ဒါမှမဟုတ် တောရိုင်းတိရစ္ဆာန်တွေနဲ့ တွေ့ရင် ဘာကို အဓိက လိုက်နာရမလဲ။","သင့်တင့်တဲ့ အကွာအဝေးကပဲ နေရမှာဖြစ်ပြီး အစာကျွေးတာမျိုး လုံးဝ မလုပ်ရပါဘူး။"
"တာဝန်သိခရီးသွားတစ်ယောက်က ဘယ်လို သဘာဝအခြေခံခရီးစဉ်မျိုးကို ရွေးချယ်သင့်သလဲ။","တိရစ္ဆာန်တွေနဲ့ သဘာဝတရားကို မနှောင့်ယှက်တဲ့ Eco-tours မျိုးကိုပဲ ရွေးချယ်သင့်ပါတယ်။"
"တိရစ္ဆာန်တွေအတွက် စောင့်ရှောက်မှုကောင်းတဲ့နေရာဆိုတာ ဘယ်လိုသိနိုင်မလဲ။","ကျွမ်းကျင်ပညာရှင်တွေ အမြဲတမ်းရှိပြီး တိရစ္ဆာန်တွေရဲ့ ကျန်းမာရေးကို ဦးစားပေးတဲ့နေရာမျိုးကို ရှာဖွေရပါမယ်။"
"ကျေးလက်ဒေသတွေမှာ အမှိုက်ပစ်ခဲ့လို့ ရပါသလား။","မရပါဘူး၊ အမှိုက်ကို စနစ်တကျ စွန့်ပစ်ခြင်းဖြင့် ဒေသခံတွေအတွက် စံပြဖြစ်အောင် နေထိုင်ရပါမယ်။"
"ဂုတ်ထိပ်တံတားကို ဖြတ်ဖို့ သီးသန့်ကား ငှားရမှာလား။","မဟုတ်ပါဘူး၊ ပြင်ဦးလွင်ကနေ ထွက်တဲ့ ပုံမှန်ရထားခရီးစဉ်မှာတင် ပါဝင်ပြီးသား ဖြစ်ပါတယ်။"
"မန္တလေးမှာ စက်ဘီးငှားလို့ ရပါသလား။","ရပါတယ်၊ ဦးပိန်တံတားဘက်ကို စက်ဘီးစီးပြီး သွားလည်ကြတဲ့ ခရီးသွားတွေ အများကြီး ရှိပါတယ်။"
"ပုဂံမှာ မိုးပျံပူဖောင်းကို ဘာကြောင့် နေထွက်ချိန်မှာပဲ စီးရတာလဲ။","နေထွက်ချိန်က အလင်းအမှောင် အလှဆုံးဖြစ်သလို ဘေးကင်းလုံခြုံစွာ ပျံသန်းဖို့ ရာသီဥတု အကောင်းဆုံးမို့ပါ။"
"ဆိုက်ကားက မြန်မာ့မြို့ပြသယ်ယူပို့ဆောင်ရေးမှာ ဘာကြောင့် ထူးခြားတာလဲ။","သူက စက်ဘီးဘေးမှာ လူစီးဖို့ တွဲထားတဲ့ သုံးဘီးစက်ဘီး အမျိုးအစားဖြစ်လို့ ထူးခြားနေတာပါ။"
"မြန်မာနိုင်ငံမှာ ရေရှားပါးမှုက တစ်နှစ်ပတ်လုံး ဖြစ်နေတာလား။","ဒေသအပေါ် မူတည်ပါတယ်၊ အချို့ဒေသတွေမှာ နွေရာသီမှာ ရေရှားပါးမှု အလွန်ပြင်းထန်တတ်ပါတယ်။"
"အင်းတော်ကြီးကန်မှာ စက်တပ်လှေမပါဘဲ တိရစ္ဆာန်တွေ ကြည့်လို့ရမလား။","ရပါတယ်၊ ကယပ်လှေလှော်သွားခြင်းက တိတ်ဆိတ်တဲ့အတွက် ငှက်တွေနဲ့ တိရစ္ဆာန်တွေကို ကြည့်ဖို့ အကောင်းဆုံးပါ။"
"ကလောမှာ တောင်တက်မယ်ဆိုရင် ဘာတွေ အဓိက ပါရမလဲ။","ကောင်းမွန်တဲ့ တောင်တက်ဖိနပ်နဲ့ ပြန်သုံးလို့ရတဲ့ ရေဘူးတစ်ဘူးကတော့ မရှိမဖြစ် လိုအပ်ပါတယ်။"
"မြန်မာနိုင်ငံမှာ ""Hello"" လို့ နှုတ်ဆက်ချင်ရင် အသုံးအများဆုံး စကားလုံးက ဘာလဲ။","ယဉ်ကျေးပျူငှာစွာ နှုတ်ဆက်ဖို့ ""မင်္ဂလာပါ"" လို့ ပြောရပါမယ်။"
"ပြန်ခါနီးမှာ ""Goodbye"" လို့ ဘယ်လို ပြောရမလဲ။","""သွားမယ်နော်"" ဆိုတဲ့ စကားစုကို သုံးနိုင်ပါတယ်။"
"တစ်ဖက်လူကို သတိထားမိအောင် လုပ်ချင်ရင် ဒါမှမဟုတ် တောင်းပန်ချင်ရင် ဘာပြောရမလဲ။","""ဆောရီးနော်"" လို့ ပြောရင် ""တစ်ဆိတ်လောက်"" ဒါမှမဟုတ် ""တောင်းပန်ပါတယ်"" လို့ အဓိပ္ပာယ်ရပါတယ်။"
"တစ်ဖက်လူရဲ့ နာမည်ကို မြန်မာလို ဘယ်လို မေးနိုင်သလဲ။","""နာမည် ဘယ်လိုခေါ်သလဲ"" လို့ မေးရပါမယ်။"
"တစ်ယောက်ယောက်က ""ကျေးဇူးတင်ပါတယ်"" လို့ ပြောလာရင် ဘယ်လို ပြန်ပြောရမလဲ။","""ရပါတယ်"" လို့ ပြန်ပြောနိုင်ပါတယ်။"
"တစ်ဖက်လူ နေကောင်း၊ မကောင်း ဘယ်လို မေးရမလဲ။","""နေကောင်းလား"" လို့ မေးနိုင်ပါတယ်။"
"တစ်ဖက်လူပြောတာကို နားမလည်ရင် ဘာပြောရမလဲ။","""နားမလည်ဘူး"" လို့ ပြောပြရပါမယ်။"
"အိမ်သာ ဘယ်မှာရှိလဲဆိုတာကို ဘယ်လို မေးရမလဲ။","""အိမ်သာ ဘယ်မှာလဲ"" လို့ မေးနိုင်ပါတယ်။"
"ဘဏ် (Bank) ကို မြန်မာလို ဘယ်လို ခေါ်သလဲ။","ဘဏ်ကို မြန်မာလို ""ဘဏ်တိုက်"" ဒါမှမဟုတ် ""ဘဏ်"" လို့ပဲ ခေါ်ပါတယ်။"
"စားသောက်ဆိုင်မှာ အကြံပေးချက်တောင်းချင်ရင် ဘယ်လို ပြောရမလဲ။","""တစ်ခုအကြံပေးနိုင်မလား"" လို့ ပြောပြီး မေးနိုင်ပါတယ်။"
"သက်သတ်လွတ်စားစရာရှိလားလို့ ဘယ်လို မေးရမလဲ။","""သက်သတ်လွတ် စားစရာရှိသလား"" လို့ မေးရပါမယ်။"
"စားပြီးလို့ ပိုက်ဆံရှင်းမယ်ဆိုရင် ဘာပြောရမလဲ။","""ဘောက်ချာ"" လို့ ပြောပြီး ပိုက်ဆံရှင်းခိုင်းနိုင်ပါတယ်။"
"အရေးပေါ်အခြေအနေမှာ ဆရာဝန်ခေါ်ပေးဖို့ ဘယ်လို ပြောရမလဲ။","""ဆရာဝန် ခေါ်ပေးပါ"" လို့ ပြောရပါမယ်။"
"""တည့်တည့်သွားပါ"" ဆိုတဲ့ လမ်းညွှန်ချက်ကို ဘယ်လို မေးရမလဲ။","""တည့်တည့်"" ဆိုတဲ့ စကားလုံးကို သုံးပါတယ်။"
"လမ်းညွှန်ချက်မှာ ""ဘယ်"" နဲ့ ""ညာ"" ကို ဘယ်လို ခွဲခေါ်သလဲ။","ဘယ်ဘက်ကို ""ဘယ်ဘက်မှာ"" လို့ ခေါ်ပြီး ညာဘက်ကို ""ညာဘက်မှာ"" လို့ ခေါ်ပါတယ်။"
"ဟိုတယ်ခန်း တစ်ညတာ ဈေးနှုန်းကို ဘယ်လို မေးရမလဲ။","""တစ်ည... ဘယ်လောက်လဲ"" လို့ မေးနိုင်ပါတယ်။"
"သုံးဘီးဆိုင်ကယ် (Tri-shaw) ကို မြန်မာလို ဘယ်လို ခေါ်သလဲ။","""ဆိုက်ကား"" လို့ ခေါ်ပါတယ်။"
"ဘတ်စ်ကားထွက်မယ့်အချိန်ကို ဘယ်လို မေးရမလဲ။","""ဘတ်စ်ကား ဘယ်အချိန်ထွက်မလဲ"" လို့ မေးရပါမယ်။"
"နေမကောင်းဖြစ်နေရင် ဘယ်လို ပြောရမလဲ။","""နေမကောင်းဘူး"" လို့ ပြောနိုင်ပါတယ်။"
"တောင်ကြီးကို သွားဖို့ လက်မှတ်တစ်စောင် တောင်းချင်ရင် ဘယ်လို ပြောမလဲ။","""(တောင်ကြီး) လက်မှတ်တစ်စောင်ပေးပါ"" လို့ ပြောရပါမယ်။"
"ဈေး (Market) ကို မြန်မာလို ဘယ်လို ခေါ်သလဲ။","""ဈေး"" လို့ပဲ ခေါ်ပါတယ်။"
"ယာဉ်မောင်းကို တစ်နေရာမှာ ရပ်ပေးဖို့ ဘယ်လို ပြောရမလဲ။","""ဒီမှာ ရပ်ပါ"" လို့ ပြောနိုင်ပါတယ်။"
"တစ်ယောက်ယောက်ကို ""ထွက်သွား"" လို့ အရေးပေါ် ပြောချင်ရင် ဘာပြောမလဲ။","""သွား!"" လို့ ပြောနိုင်ပါတယ်။"
"""ဟိုတယ် ဘယ်မှာလဲ"" လို့ ဘယ်လို မေးရမလဲ။","""ဟိုတယ် ဘယ်မှာလဲ"" လို့ပဲ မေးရပါမယ်။"
"စာတိုက် (Post Office) ကို မြန်မာလို ဘယ်လို ခေါ်သလဲ။","""စာတိုက်"" လို့ ခေါ်ပါတယ်။"
"တစ်နေရာရာက နာနေရင် လက်ညှိုးထိုးပြီး ဘယ်လို ပြောမလဲ။","""ဒီမှာ နာတယ်"" လို့ ပြောနိုင်ပါတယ်။"
"လေယာဉ်ပျံ (Plane) ကို မြန်မာလို ဘယ်လို ခေါ်သလဲ။","""လေယာဉ်ပျံ"" လို့ ခေါ်ပါတယ်။"
"သူငယ်ချင်းတွေနဲ့ သောက်တဲ့အခါ ""Cheers"" လို့ ဘယ်လို ပြောမလဲ။","""ချီးယား"" လို့ ပြောနိုင်ပါတယ်။"
"""အင်္ဂလိပ်လို ပြောတတ်လား"" လို့ တစ်ဖက်လူကို ဘယ်လို မေးမလဲ။","""အင်္ဂလိပ်လို ပြောတတ်သလား"" လို့ မေးနိုင်ပါတယ်။"
"ယာဉ်မောင်းကို အားလား၊ မအားလား ဘယ်လို မေးမလဲ။","""အားလား"" လို့ မေးနိုင်ပါတယ်။"
